InputRow,TRN,ApplicationNumber,YearInput,EndpointUsed,HTTPStatus,Present,Note,CheckedAt
1,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.761785
2,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.761875
3,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.761952
4,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762023
5,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762093
6,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762157
7,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762214
8,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762274
9,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762331
10,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762387
11,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762444
12,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762501
13,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762556
14,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762624
15,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762680
16,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762790
17,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.762940
18,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763037
19,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763123
20,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763205
21,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763387
22,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763474
23,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763538
24,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763625
25,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763708
26,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763816
27,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763894
28,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.763991
29,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.764119
30,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.764248
31,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.764359
32,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.764481
33,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.764574
34,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.764695
35,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.764791
36,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.764888
37,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.764986
38,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.765060
39,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T13:49:38.765143
