InputRow,TRN,ApplicationNumber,YearInput,EndpointUsed,HTTPStatus,Present,Note,CheckedAt
1,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.112556
2,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.112826
3,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.113054
4,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.113222
5,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.113399
6,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.113607
7,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.113821
8,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.114029
9,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.114209
10,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.114378
11,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.114596
12,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.114819
13,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.115006
14,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.115206
15,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.115450
16,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.115637
17,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.115888
18,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.116146
19,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.116343
20,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.116534
21,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.116731
22,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.116922
23,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.117107
24,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.117304
25,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.117453
26,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.117602
27,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.117745
28,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.117929
29,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.118089
30,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.118260
31,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.118419
32,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.118533
33,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.118683
34,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.118819
35,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.118948
36,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.119055
37,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.119178
38,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.119281
39,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.119393
40,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.119562
41,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.119664
42,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.119750
43,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.119830
44,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.119997
45,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.120116
46,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.120231
47,,,,NO_STRATEGY,0,,No valid identifier (CUSTOMER_TRN) found in row.,2025-11-24T11:46:25.120345
